39,Small colosseum                                                                                     ,/image/3/Small colosseum.jpeg                                                                                                                         ,600,2008,"canvas, oil                                                                                         ",700x700                       ,,3,4
47,Ligthhouse                                                                                          ,/image/5/Ligthhouse.jpeg                                                                                                                              ,3000,2019,"canvas, oil                                                                                         ",500x400                       ,,5,6
48,Milkman de armento                                                                                  ,/image/5/Milkman de armento.jpeg                                                                                                                      ,2500,2019,"canvas, oil                                                                                         ",500x400                       ,,5,6
49,Molendinarius                                                                                       ,/image/5/Molendinarius.jpeg                                                                                                                           ,900,2019,"canvas, oil                                                                                         ",500x400                       ,,5,6
42,Return of the beast                                                                                 ,/image/4/Return of the beast.jpeg                                                                                                                     ,800,2016,"canvas, oil                                                                                         ",800x700                       ,,4,5
43,Tribunal                                                                                            ,/image/4/Tribunal.jpeg                                                                                                                                ,400,2016,"canvas, oil                                                                                         ",500x400                       ,,4,5
44,Wondrous beast                                                                                      ,/image/4/Wondrous beast.jpeg                                                                                                                          ,600,2016,"canvas, oil                                                                                         ",500x400                       ,,4,5
45,Flora                                                                                               ,/image/5/Flora.jpeg                                                                                                                                   ,500,2019,"canvas, oil                                                                                         ",500x400                       ,,5,6
46,Harlequin                                                                                           ,/image/5/Harlequin.jpeg                                                                                                                               ,4000,2019,"canvas, oil                                                                                         ",500x400                       ,,5,6
51,Stilllife                                                                                           ,/image/5/Stilllife.jpeg                                                                                                                               ,500,2019,"canvas, oil                                                                                         ",500x400                       ,,5,6
52,Studio                                                                                              ,/image/0/Studio.jpeg                                                                                                                                  ,2000,2010,"canvas, oil                                                                                         ",500x400                       ,"",0,6
